DATE(MEAN)	DATE(MODE)	WHO(MODE)	PATH
2017-12-06	2017-07-13	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/ui/StartEnrollmentActivity.java
2019-10-18	2019-10-18	Teclib	app/src/main/java/org/flyve/mdm/agent/ui/UninstallAppActivity.java
2017-08-01	2017-07-11	Rafa Hernández	app/src/main/java/org/flyve/mdm/agent/utils/AppInfo.java
2018-04-23	2018-04-23	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/utils/CameraManager.java
2017-11-15	2017-06-01	Alexander Salas Bastidas	app/src/main/java/org/flyve/mdm/agent/utils/ConnectionHTTP.java
2018-04-23	2018-04-23	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/utils/DialogBuilder.java
2017-11-08	2017-10-25	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/utils/EnvInfoAbout.java
2017-11-14	2017-10-25	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/utils/EnvInfoSetup.java
2017-12-15	2018-01-25	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/utils/FastLocationProvider.java
2017-08-22	2017-06-06	Rafa Hernández	app/src/main/java/org/flyve/mdm/agent/utils/FlyveLog.java
2018-02-10	2017-07-27	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/utils/Helpers.java
2017-08-15	2017-07-13	Rafa Hernández	app/src/main/java/org/flyve/mdm/agent/utils/InputValidatorHelper.java
2018-05-15	2018-05-02	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/utils/Inventory.java
2017-09-14	2017-08-04	Rafa Hernández	app/src/main/java/org/flyve/mdm/agent/utils/LogFileReader.java
2017-08-21	2017-08-08	Rafa Hernández	app/src/main/java/org/flyve/mdm/agent/utils/MultipleEditText.java
2017-08-28	2017-08-10	Rafa Hernández	app/src/main/java/org/flyve/mdm/agent/utils/RoundedImageView.java
2018-01-18	2018-01-15	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/utils/StorageFolder.java
2018-02-26	2018-02-21	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/utils/TimeAlarm.java
2017-12-03	2017-11-20	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/utils/UtilsCrash.java
2019-10-18	2019-10-18	Teclib	app/src/main/res/drawable-anydpi/ic_delete_grey.xml
2017-07-30	2017-07-30	Rafa Hernández	app/src/main/res/drawable/separator_line.xml
2018-07-10	2018-06-27	Rafa Hernandez	app/src/main/res/layout-land/fragment_walkthrough_step.xml
2017-10-25	2017-10-25	Rafa Hernandez	app/src/main/res/layout/activity_about.xml
2017-08-23	2017-08-15	Rafa Hernández	app/src/main/res/layout/activity_disclosure.xml
2018-04-12	2018-04-12	Rafa Hernandez	app/src/main/res/layout/activity_error.xml
2018-02-20	2018-02-15	Rafa Hernandez	app/src/main/res/layout/activity_install_app.xml
2017-11-20	2017-11-14	Rafa Hernandez	app/src/main/res/layout/activity_lock.xml
2017-07-12	2017-07-30	Rafa Hernández	app/src/main/res/layout/activity_main.xml
2019-10-24	2019-10-24	Teclib	app/src/main/res/layout/activity_option_enrollment.xml
2018-03-31	2018-03-19	Rafa Hernandez	app/src/main/res/layout/activity_permission_enrollment.xml
2018-04-23	2018-04-23	Rafa Hernandez	app/src/main/res/layout/activity_scan.xml
2018-03-05	2018-04-23	Rafa Hernandez	app/src/main/res/layout/activity_splash.xml
2017-08-17	2017-07-18	Rafa Hernández	app/src/main/res/layout/activity_splash_enrolled.xml
2017-11-10	2017-07-13	Rafa Hernández	app/src/main/res/layout/activity_start_enrollment.xml
2017-08-06	2017-07-31	Rafa Hernández	app/src/main/res/layout/activity_supervisor_preview.xml
2017-07-26	2017-07-13	Rafa Hernández	app/src/main/res/layout/activity_user_form.xml
2017-08-24	2017-08-16	Rafa Hernández	app/src/main/res/layout/activity_user_preview.xml
2018-04-23	2018-04-23	Rafa Hernandez	app/src/main/res/layout/dialog_title.xml
2017-12-18	2017-12-18	Rafa Hernandez	app/src/main/res/layout/fragment_activity.xml
2018-02-10	2018-02-09	Rafa Hernandez	app/src/main/res/layout/fragment_app_list.xml
2018-06-28	2018-03-21	Rafa Hernandez	app/src/main/res/layout/fragment_configuration.xml
2018-03-22	2018-03-22	Rafa Hernandez	app/src/main/res/layout/fragment_feedback.xml
2018-04-11	2018-04-11	Rafa Hernandez	app/src/main/res/layout/fragment_file_list.xml
2017-07-31	2017-07-31	Rafa Hernández	app/src/main/res/layout/fragment_help.xml
2017-07-28	2017-07-18	Rafa Hernández	app/src/main/res/layout/fragment_log.xml
2017-11-01	2017-11-01	Rafa Hernandez	app/src/main/res/layout/fragment_mqtt_configuration.xml
2018-02-13	2017-12-19	Rafa Hernandez	app/src/main/res/layout/fragment_policies.xml
2017-12-12	2017-11-25	Rafa Hernandez	app/src/main/res/layout/fragment_test_policies.xml
2018-12-14	2018-12-14	Rafa Hernandez	app/src/main/res/layout/fragment_topics.xml
2017-11-13	2017-08-17	Rafa Hernández	app/src/main/res/layout/fragment_walkthrough_step.xml
2018-06-05	2018-02-13	Rafa Hernandez	app/src/main/res/layout/list_item_application.xml
2017-12-18	2017-12-18	Rafa Hernandez	app/src/main/res/layout/list_item_connectivity.xml
2017-07-30	2017-07-30	Rafa Hernández	app/src/main/res/layout/list_item_drawer.xml
2018-04-17	2018-04-11	Rafa Hernandez	app/src/main/res/layout/list_item_file.xml
2018-02-23	2018-02-13	Rafa Hernandez	app/src/main/res/layout/list_item_log.xml
2018-04-03	2017-12-19	Rafa Hernandez	app/src/main/res/layout/list_item_policies.xml
2018-12-14	2018-12-14	Rafa Hernandez	app/src/main/res/layout/list_item_topics.xml
2018-03-23	2018-03-23	Rafa Hernandez	app/src/main/res/mipmap-anydpi-v26/ic_launcher.xml
2018-10-19	2018-10-19	Rafa Hernandez	app/src/main/res/raw/flyve_org.crt
2017-09-11	2017-07-30	Rafa Hernández	app/src/main/res/values-v21/styles.xml
2017-11-27	2018-04-23	Rafa Hernandez	app/src/main/res/values/colors.xml
2018-04-23	2018-04-23	Rafa Hernandez	app/src/main/res/values/dimens.xml
2018-01-15	2018-06-26	Rafa Hernandez	app/src/main/res/values/strings.xml
2017-07-24	2017-07-13	Rafa Hernández	app/src/main/res/values/styles.xml
2017-07-04	2017-07-04	Rafa Hernández	app/src/main/res/xml/device_admin.xml
2017-06-28	2017-06-28	Rafael Hernandez	app/src/main/res/xml/device_admin_uses_policies.xml
2018-06-28	2018-06-28	Rafa Hernandez	app/src/main/res/xml/file_paths.xml
2018-12-13	2018-11-30	Rafa Hernandez	app/src/mqtt/AndroidManifest.xml
2018-11-22	2018-11-22	Rafa Hernandez	app/src/mqtt/google-services.json
2018-02-07	2018-01-05	Rafa Hernandez	app/src/mqtt/java/org/flyve/mdm/agent/core/enrollment/Enrollment.java
2017-11-13	2017-07-13	Rafa Hernández	app/src/mqtt/java/org/flyve/mdm/agent/core/enrollment/EnrollmentHelper.java
2018-02-08	2018-01-05	Rafa Hernandez	app/src/mqtt/java/org/flyve/mdm/agent/core/enrollment/EnrollmentModel.java
2018-01-31	2018-01-05	Rafa Hernandez	app/src/mqtt/java/org/flyve/mdm/agent/core/enrollment/EnrollmentPresenter.java
2019-10-25	2019-10-23	Teclib	app/src/mqtt/java/org/flyve/mdm/agent/core/mqtt/MqttController.java
2019-07-16	2019-07-16	Stanislas	app/src/mqtt/java/org/flyve/mdm/agent/core/mqtt/MqttDownloadSSL.java
2018-10-28	2018-09-06	Rafa Hernandez	app/src/mqtt/java/org/flyve/mdm/agent/core/mqtt/MqttModel.java
2018-09-06	2018-09-06	Rafa Hernandez	app/src/mqtt/java/org/flyve/mdm/agent/core/mqtt/MqttPresenter.java
2018-09-06	2018-09-06	Rafa Hernandez	app/src/mqtt/java/org/flyve/mdm/agent/core/mqtt/mqtt.java
2017-07-21	2017-06-02	Rafa Hernández	app/src/mqtt/java/org/flyve/mdm/agent/receivers/MQTTRestarterBroadcastReceiver.java
2019-10-23	2019-10-23	Teclib	app/src/mqtt/java/org/flyve/mdm/agent/receivers/MqttReceiver.java
2017-07-14	2017-06-01	Alexander Salas Bastidas	app/src/mqtt/java/org/flyve/mdm/agent/security/AndroidCryptoProvider.java
2017-09-30	2017-06-30	Rafa Hernández	app/src/mqtt/java/org/flyve/mdm/agent/services/MQTTService.java
2017-09-28	2017-07-13	Rafa Hernández	app/src/mqtt/java/org/flyve/mdm/agent/ui/EnrollmentActivity.java
2017-12-04	2017-11-01	Rafa Hernandez	app/src/mqtt/java/org/flyve/mdm/agent/ui/FragmentMQTTConfig.java
