DATE(MEAN)	DATE(MODE)	WHO(MODE)	PATH
2003-04-09	2002-05-26	Chui Tey	Lib/idlelib/debugger_r.py
2003-04-11	2000-03-22	Greg Ward	Lib/distutils/command/install.py
2003-04-24	2002-04-03	Guido van Rossum	Include/boolobject.h
2003-05-02	2001-08-21	Ka-Ping Yee	Lib/cgitb.py
2003-05-04	2001-08-02	Tim Peters	Modules/xxsubtype.c
2003-05-07	1996-01-12	Guido van Rossum	Include/complexobject.h
2003-05-11	2004-10-28	Guido van Rossum	Include/funcobject.h
2003-05-16	2002-07-08	Tim Peters	Parser/node.c
2003-05-17	1999-01-12	Guido van Rossum	Lib/asyncore.py
2003-05-24	2000-10-05	Tim Peters	Tools/scripts/reindent.py
2003-05-24	2010-07-05	Guido van Rossum	Tools/demo/vector.py
2003-05-25	2003-01-25	Martin v. Löwis	Lib/xml/dom/expatbuilder.py
2003-06-01	2002-11-22	Thomas Heller	PC/bdist_wininst/archive.h
2003-06-03	1999-08-19	Guido van Rossum	Tools/scripts/parseentities.py
2003-06-07	2000-06-29	Martin v. Löwis	Lib/xml/sax/expatreader.py
2003-06-17	2004-05-21	Raymond Hettinger	Lib/reprlib.py
2003-06-18	1999-09-22	Greg Ward	Lib/distutils/__init__.py
2003-06-21	2003-01-25	Martin v. Löwis	Lib/xml/dom/xmlbuilder.py
2003-06-25	2000-04-09	Greg Ward	Lib/distutils/README
2003-06-25	2001-03-01	Andrew M. Kuchling	Tools/scripts/pydoc3
2003-07-10	2002-04-03	Guido van Rossum	Objects/boolobject.c
2003-07-11	1995-03-02	Guido van Rossum	Tools/scripts/README
2003-07-11	2000-04-04	Greg Ward	Lib/distutils/dir_util.py
2003-07-26	2001-08-08	Jack Jansen	Mac/Resources/framework/Info.plist.in
2003-08-04	2003-02-03	Skip Montanaro	Tools/scripts/db2pickle.py
2003-08-07	1995-08-04	Guido van Rossum	Lib/socketserver.py
2003-08-12	2003-07-15	Raymond Hettinger	Lib/test/test_future3.py
2003-08-25	2001-01-29	Andrew M. Kuchling	Modules/Setup
2003-09-04	2001-09-22	Fred Drake	Lib/test/test_sys_setprofile.py
2003-09-05	1995-04-10	Guido van Rossum	Tools/demo/rpython.py
2003-09-05	2000-04-04	Greg Ward	Lib/distutils/file_util.py
2003-09-05	2000-06-26	Andrew M. Kuchling	Lib/curses/textpad.py
2003-09-06	2000-09-01	Guido van Rossum	LICENSE
2003-09-06	2003-03-20	Tim Peters	Include/floatobject.h
2003-09-12	2000-03-28	Thomas Wouters	Lib/encodings/mbcs.py
2003-09-12	2000-03-31	Greg Ward	Lib/distutils/command/bdist_dumb.py
2003-09-12	2003-02-03	Skip Montanaro	Tools/scripts/pickle2db.py
2003-09-14	1993-07-28	Guido van Rossum	Include/sysmodule.h
2003-09-14	2000-07-30	Greg Ward	Lib/distutils/filelist.py
2003-09-14	2002-03-30	Martin v. Löwis	Include/iterobject.h
2003-09-18	2001-09-04	Jack Jansen	Mac/Resources/app/Info.plist.in
2003-09-21	2003-01-25	Martin v. Löwis	Lib/xml/dom/minidom.py
2003-10-03	2002-11-14	Guido van Rossum	Lib/optparse.py
2003-10-04	2002-11-22	Thomas Heller	PC/bdist_wininst/install.rc
2003-10-18	2002-11-22	Thomas Heller	PC/bdist_wininst/install.c
2003-10-30	1990-10-14	Guido van Rossum	Parser/tokenizer.h
2003-10-30	2003-06-19	Jack Jansen	Mac/Extras.install.py
2003-11-13	2002-02-10	Marc-André Lemburg	Lib/encodings/aliases.py
2003-11-16	1998-03-05	Guido van Rossum	Lib/modulefinder.py
2003-11-20	2002-06-25	Fred Drake	Lib/test/xmltests.py
2003-11-22	2002-10-11	Tim Peters	PCbuild/field3.py
2003-11-24	1999-01-03	Guido van Rossum	Include/patchlevel.h
2003-11-24	2001-01-19	Fredrik Lundh	Include/ucnhash.h
2003-12-01	2003-01-01	Skip Montanaro	Tools/scripts/find-uname.py
2003-12-03	2000-08-02	Greg Ward	Lib/distutils/cygwinccompiler.py
2003-12-05	1998-04-09	Guido van Rossum	Lib/poplib.py
2003-12-06	2009-03-18	Mark Dickinson	Include/longintrepr.h
2003-12-13	2000-08-15	David Scherer	Lib/idlelib/debugger.py
2003-12-21	2000-08-15	David Scherer	Lib/idlelib/filelist.py
2004-01-01	1998-08-11	Guido van Rossum	Lib/tkinter/font.py
2004-01-21	1997-08-05	Guido van Rossum	Lib/test/test_opcodes.py
2004-01-26	2003-04-18	Martin v. Löwis	Lib/encodings/punycode.py
2004-01-26	2003-08-30	Raymond Hettinger	Lib/test/test_longexp.py
2004-01-29	2000-08-15	David Scherer	Lib/idlelib/extend.txt
2004-01-29	2000-08-24	Thomas Wouters	Lib/test/test_augassign.py
